"site_no","gage_lid","feature_id","action_stage","flood_stage","moderate_stage","major_stage","url","action_cfs","flood_cfs","moderate_cfs","major_cfs","action_cms","flood_cms","moderate_cms","major_cms"
8123800,"WBRT2",5714835,18.0,22.5,23.5,25.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=maf&gage=wbrt2",3526.97,8844.83,12071.44,"",98.75515999999999,247.65524,338.00032000000004,""
1668000,"FDBV2",8476948,10.0,13.0,16.0,23.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=fdbv2",27388.82,43110.44,60942.88,109479.8,766.88696,1207.0923200000002,1706.40064,3065.4344
7196000,"KNSO2",399514,8.0,11.0,13.0,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=tsa&gage=knso2",1995.24,8162.61,11603.54,14732.72,55.86672,228.55308,324.89912000000004,412.51616
7375800,"LPOL1",20089222,9.0,9.0,11.0,12.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lix&gage=lpol1",1876.35,1876.35,7104.31,12889.18,52.5378,52.5378,198.92068,360.89704
2080500,"RRDN7",10451190,9.0,9.0,12.0,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=rah&gage=rrdn7",23314.19,23314.19,"","",652.79732,652.79732,"",""
8095300,"MCGT2",5523936,18.0,20.0,22.0,26.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=fwd&gage=mcgt2",14743.2,17600.0,22100.0,41558.0,412.80960000000005,492.8,618.8000000000001,1163.624
1451000,"WNTP1",4188205,7.5,8.0,12.0,16.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=phi&gage=wntp1",15893.33,17992.96,38290.34,64406.6,445.01324,503.80287999999996,1072.12952,1803.3848
6856000,"CNKK1",5924924,10.0,15.0,18.0,30.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=top&gage=cnkk1",3518.71,11535.03,24795.89,"",98.52388,322.98084,694.2849199999999,""
6847500,"STMN1",14610398,17.0,19.0,22.0,26.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=gid&gage=stmn1","","","","","","","",""
4151500,"FRNM4",13009630,15.0,17.0,20.0,25.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=dtx&gage=frnm4",4334.7,6155.63,9563.35,17292.34,121.3716,172.35764,267.7738,484.18552
12352500,"BITM8",24319206,10.0,11.0,13.0,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mso&gage=bitm8",14224.77,17306.26,24249.69,"",398.29356,484.57527999999996,678.99132,""
1629500,"SFSV2",5907167,13.0,14.0,20.0,25.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=sfsv2",18901.96,22548.25,54105.41,93552.82,529.25488,631.351,1514.9514800000002,2619.4789600000004
14359000,"RYGO3",23930752,10.0,12.0,16.0,18.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mfr&gage=rygo3",26368.52,36878.83,62254.82,77354.06,738.31856,1032.60724,1743.13496,2165.91368
4122500,"SCTM4",8992044,4.0,5.5,6.5,7.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=grr&gage=sctm4",1638.0,2990.0,4337.41,5149.16,45.864000000000004,83.72,121.44748,144.17648
4154000,"MPTM4",13039256,6.0,8.0,11.0,13.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=grr&gage=mptm4",1132.63,1928.88,3273.82,4537.57,31.713640000000005,54.00864000000001,91.66696,127.05196
6447000,"KDKS2",16074848,12.0,13.0,15.0,19.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=unr&gage=kdks2",8900.0,11000.0,17500.0,"",249.20000000000002,308.0,490.0,""
6821190,"SSTM7",2530553,21.0,26.0,29.0,33.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=eax&gage=sstm7",7439.65,11970.27,15061.25,23300.0,208.31019999999998,335.16756000000004,421.71500000000003,652.4
4100500,"GSHI3",12261362,6.0,7.0,9.0,11.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=iwx&gage=gshi3",2125.65,2781.06,4132.29,5504.71,59.51820000000001,77.86968,115.70412,154.13188
1507000,"GNEN6",9424095,11.0,13.0,15.0,18.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=bgm&gage=gnen6",6868.41,9540.0,12970.0,19229.32,192.31548,267.12,363.16,538.42096
6468170,"GCEN8",12570210,10.0,12.0,14.0,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=bis&gage=gcen8",1751.19,3338.58,5360.53,6244.81,49.03332,93.48024,150.09484,174.85468
5514860,"DRCM7",880034,16.0,18.0,20.0,23.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lsx&gage=drcm7",2574.71,3585.95,5260.24,8951.6,72.09188,100.4066,147.28672,250.6448
14366000,"APRO3",23935947,12.0,13.0,15.0,17.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=mfr&gage=apro3",13836.82,16229.54,21600.0,27028.09,387.43096,454.42712000000006,604.8000000000001,756.78652
2055000,"RONV2",8627261,6.0,10.0,12.0,16.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=rnk&gage=ronv2",4044.1,9498.95,12311.69,18620.7,113.23479999999999,265.97060000000005,344.72732,521.3796
1595500,"KITM2",14365188,8.0,9.0,12.0,15.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=lwx&gage=kitm2",7412.72,10688.01,25712.23,52000.0,207.55616,299.26428,719.94244,1456.0
5447500,"GENI2",10969489,14.0,15.0,16.5,18.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=dvn&gage=geni2",6016.18,6802.65,8062.95,9427.2,168.45304000000002,190.4742,225.7626,263.96160000000003
8375300,"BOQT2",291801,10.0,13.0,15.0,20.0," https://water.weather.gov/ahps2/hydrograph.php?wfo=maf&gage=boqt2",6389.63,10037.21,12710.77,26182.87,178.90964,281.04188,355.90156,733.12036
